epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.48152,51.00000,35.00000,4505
1,1,0.34527,64.00000,30.00000,358
1,2,0.29231,70.00000,30.00000,201
1,3,0.27728,60.00000,35.00000,192
1,4,0.25518,63.00000,30.00000,188
1,5,0.23555,67.00000,30.00000,198
1,6,0.23826,37.00000,36.00000,197
1,7,0.21517,54.00000,35.00000,188
1,8,0.20004,68.00000,30.00000,195
1,9,0.20441,61.00000,35.00000,162
1,10,0.17552,63.00000,30.00000,160
1,11,0.16169,50.00000,36.00000,191
1,12,0.16170,55.00000,36.00000,184
1,13,0.15925,53.00000,35.00000,185
1,14,0.13764,66.00000,30.00000,192
1,15,0.13969,61.00000,36.00000,185
1,16,0.15924,63.00000,30.00000,179
1,17,0.12805,67.00000,30.00000,214
1,18,0.13068,73.00000,30.00000,197
1,19,0.12921,63.00000,30.00000,187
1,20,0.13110,57.00000,30.00000,184
2,0,0.12564,55.00000,35.00000,1142
2,1,0.11524,66.00000,30.00000,182
2,2,0.11241,68.00000,36.00000,174
2,3,0.12385,54.00000,35.00000,212
2,4,0.12060,62.00000,35.00000,184
2,5,0.10420,39.00000,40.00000,164
2,6,0.12002,55.00000,35.00000,185
2,7,0.12004,64.00000,36.00000,203
2,8,0.10908,43.00000,35.00000,172
2,9,0.09990,61.00000,36.00000,184
2,10,0.10549,60.00000,35.00000,187
2,11,0.09388,56.00000,36.00000,154
2,12,0.10072,61.00000,35.00000,158
2,13,0.08325,68.00000,30.00000,164
2,14,0.10246,65.00000,30.00000,184
2,15,0.09163,58.00000,35.00000,195
2,16,0.08049,69.00000,30.00000,160
2,17,0.09344,49.00000,35.00000,144
2,18,0.09052,64.00000,36.00000,162
2,19,0.08148,67.00000,30.00000,183
2,20,0.08915,63.00000,30.00000,157
3,0,0.09272,69.00000,30.00000,4072
3,1,0.08295,52.00000,35.00000,182
3,2,0.09745,63.00000,36.00000,175
3,3,0.09900,72.00000,30.00000,165
3,4,0.07724,56.00000,35.00000,182
3,5,0.08692,45.00000,40.00000,164
3,6,0.08700,46.00000,35.00000,195
3,7,0.08661,69.00000,30.00000,179
3,8,0.10198,61.00000,35.00000,158
3,9,0.09213,50.00000,36.00000,186
3,10,0.08542,56.00000,35.00000,192
3,11,0.09290,55.00000,35.00000,185
3,12,0.08085,67.00000,35.00000,190
3,13,0.06957,64.00000,30.00000,180
3,14,0.08278,69.00000,30.00000,163
3,15,0.10037,60.00000,30.00000,186
3,16,0.09764,53.00000,35.00000,184
3,17,0.08520,59.00000,36.00000,189
3,18,0.07832,60.00000,30.00000,187
3,19,0.08066,61.00000,30.00000,191
3,20,0.08419,59.00000,35.00000,186
4,0,0.07558,54.00000,35.00000,4341
4,1,0.07136,64.00000,35.00000,170
4,2,0.07133,57.00000,36.00000,186
4,3,0.08287,62.00000,30.00000,184
4,4,0.07465,58.00000,36.00000,192
4,5,0.07627,57.00000,30.00000,188
4,6,0.07548,63.00000,35.00000,172
4,7,0.07809,59.00000,35.00000,161
4,8,0.08050,46.00000,36.00000,153
4,9,0.07972,56.00000,36.00000,154
4,10,0.07938,69.00000,30.00000,166
4,11,0.08461,72.00000,30.00000,189
4,12,0.07678,50.00000,35.00000,189
4,13,0.06886,51.00000,35.00000,185
4,14,0.07296,46.00000,40.00000,157
4,15,0.06429,62.00000,30.00000,177
4,16,0.07431,54.00000,36.00000,164
4,17,0.07029,67.00000,30.00000,189
4,18,0.07418,60.00000,36.00000,186
4,19,0.06932,57.00000,35.00000,182
4,20,0.07217,53.00000,35.00000,179
5,0,0.07236,54.00000,35.00000,4348
5,1,0.07357,52.00000,30.00000,177
5,2,0.08115,60.00000,30.00000,168
5,3,0.07324,52.00000,35.00000,160
5,4,0.06989,58.00000,35.00000,193
5,5,0.07296,70.00000,30.00000,195
5,6,0.07403,64.00000,30.00000,191
5,7,0.06250,44.00000,35.00000,181
5,8,0.05942,56.00000,35.00000,185
5,9,0.07348,58.00000,35.00000,189
5,10,0.06388,55.00000,35.00000,159
5,11,0.06572,55.00000,30.00000,156
5,12,0.07118,58.00000,35.00000,181
5,13,0.06987,71.00000,30.00000,162
5,14,0.06914,68.00000,30.00000,164
5,15,0.06587,69.00000,30.00000,193
5,16,0.05919,61.00000,30.00000,184
5,17,0.06694,68.00000,30.00000,189
5,18,0.06991,65.00000,30.00000,188
5,19,0.07556,59.00000,30.00000,181
5,20,0.07840,58.00000,35.00000,188
6,0,0.07023,53.00000,35.00000,3393
6,1,0.07076,54.00000,30.00000,181
6,2,0.09327,53.00000,35.00000,158
6,3,0.08180,65.00000,30.00000,196
6,4,0.06587,73.00000,30.00000,176
6,5,0.07774,67.00000,30.00000,174
6,6,0.07635,60.00000,35.00000,161
6,7,0.07900,53.00000,35.00000,189
6,8,0.06402,49.00000,36.00000,157
6,9,0.07862,62.00000,35.00000,164
6,10,0.08065,49.00000,30.00000,177
6,11,0.07399,65.00000,30.00000,422
6,12,0.06948,61.00000,36.00000,161
6,13,0.07240,64.00000,30.00000,187
6,14,0.06499,60.00000,30.00000,189
6,15,0.07888,61.00000,30.00000,157
6,16,0.07354,57.00000,30.00000,191
6,17,0.06281,49.00000,30.00000,176
6,18,0.07148,67.00000,30.00000,186
6,19,0.07534,60.00000,36.00000,186
6,20,0.06644,60.00000,35.00000,185
7,0,0.06117,51.00000,36.00000,3046
7,1,0.07054,63.00000,35.00000,166
7,2,0.06785,65.00000,30.00000,172
7,3,0.06394,57.00000,35.00000,189
7,4,0.07049,64.00000,30.00000,189
7,5,0.07107,49.00000,35.00000,180
7,6,0.07302,56.00000,35.00000,187
7,7,0.07028,63.00000,36.00000,180
7,8,0.06492,63.00000,30.00000,190
7,9,0.06726,43.00000,36.00000,184
7,10,0.07374,51.00000,35.00000,194
7,11,0.07678,62.00000,30.00000,157
7,12,0.06467,61.00000,35.00000,200
7,13,0.06601,66.00000,30.00000,191
7,14,0.07955,66.00000,35.00000,188
7,15,0.07972,51.00000,35.00000,184
7,16,0.06936,48.00000,35.00000,184
7,17,0.06895,42.00000,35.00000,176
7,18,0.06803,55.00000,35.00000,187
7,19,0.07667,65.00000,30.00000,172
7,20,0.07668,66.00000,30.00000,186
8,0,0.07332,56.00000,35.00000,4238
8,1,0.07100,53.00000,36.00000,188
8,2,0.06393,58.00000,35.00000,165
8,3,0.07204,58.00000,36.00000,164
8,4,0.07600,45.00000,35.00000,167
8,5,0.07755,58.00000,35.00000,189
