epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.48147,49.00000,35.00000,4448
1,1,0.34470,58.00000,36.00000,199
1,2,0.27914,55.00000,35.00000,163
1,3,0.26176,65.00000,30.00000,166
1,4,0.22925,63.00000,30.00000,159
1,5,0.23118,58.00000,30.00000,154
1,6,0.21098,69.00000,30.00000,163
1,7,0.21242,47.00000,35.00000,155
1,8,0.19319,61.00000,30.00000,155
1,9,0.17767,50.00000,35.00000,149
1,10,0.16007,63.00000,30.00000,162
1,11,0.16145,67.00000,30.00000,167
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.48145,64.00000,30.00000,4814
1,1,0.34017,52.00000,35.00000,393
1,2,0.28268,55.00000,35.00000,181
1,3,0.26009,55.00000,35.00000,176
1,4,0.23416,67.00000,30.00000,232
1,5,0.21551,47.00000,36.00000,178
2,0,0.20786,61.00000,30.00000,923
2,1,0.18129,67.00000,30.00000,179
2,2,0.20709,58.00000,30.00000,187
2,3,0.16560,71.00000,30.00000,171
2,4,0.14998,71.00000,30.00000,168
2,5,0.15519,59.00000,35.00000,160
3,0,0.15523,77.00000,30.00000,950
3,1,0.14916,43.00000,36.00000,197
3,2,0.13965,51.00000,36.00000,192
3,3,0.13857,61.00000,36.00000,169
3,4,0.13284,51.00000,35.00000,189
3,5,0.17661,67.00000,30.00000,194
4,0,0.13006,66.00000,35.00000,1347
4,1,0.13609,48.00000,40.00000,166
4,2,0.14717,65.00000,30.00000,187
4,3,0.13407,66.00000,35.00000,191
4,4,0.12003,55.00000,35.00000,184
4,5,0.11294,59.00000,35.00000,186
5,0,0.11638,54.00000,36.00000,278
5,1,0.11019,60.00000,35.00000,169
5,2,0.11655,61.00000,35.00000,193
5,3,0.09541,57.00000,35.00000,159
5,4,0.10821,60.00000,35.00000,160
5,5,0.11713,63.00000,30.00000,187
6,0,0.10456,49.00000,30.00000,425
6,1,0.09455,59.00000,35.00000,194
6,2,0.09280,56.00000,35.00000,192
6,3,0.10242,64.00000,30.00000,192
6,4,0.09014,43.00000,36.00000,178
6,5,0.08360,48.00000,36.00000,187
7,0,0.08190,59.00000,35.00000,2097
7,1,0.09327,45.00000,36.00000,181
7,2,0.12572,43.00000,35.00000,191
7,3,0.08231,62.00000,30.00000,191
7,4,0.12225,51.00000,40.00000,185
7,5,0.08229,55.00000,35.00000,158
8,0,0.08595,67.00000,30.00000,1101
8,1,0.10325,42.00000,35.00000,191
8,2,0.08470,71.00000,30.00000,172
8,3,0.08919,60.00000,30.00000,180
8,4,0.11069,55.00000,36.00000,183
8,5,0.08693,71.00000,30.00000,175
9,0,0.08452,56.00000,35.00000,612
9,1,0.07467,57.00000,35.00000,174
9,2,0.08559,50.00000,36.00000,166
9,3,0.08611,55.00000,35.00000,197
9,4,0.08842,54.00000,36.00000,187
9,5,0.08740,65.00000,30.00000,191
10,0,0.07708,51.00000,35.00000,1363
10,1,0.08722,59.00000,35.00000,158
10,2,0.08161,47.00000,36.00000,157
10,3,0.07505,73.00000,30.00000,202
10,4,0.08792,67.00000,30.00000,189
10,5,0.08975,54.00000,36.00000,157
11,0,0.08683,67.00000,35.00000,2017
11,1,0.08580,66.00000,30.00000,169
11,2,0.08405,47.00000,35.00000,187
11,3,0.09702,60.00000,35.00000,190
11,4,0.08515,57.00000,35.00000,192
11,5,0.08289,49.00000,40.00000,190
12,0,0.08412,65.00000,30.00000,1168
12,1,0.07908,60.00000,35.00000,3241
12,2,0.08801,67.00000,30.00000,188
12,3,0.08679,59.00000,30.00000,185
12,4,0.07814,48.00000,35.00000,167
12,5,0.09284,64.00000,35.00000,170
13,0,0.08582,59.00000,35.00000,1448
13,1,0.08848,73.00000,30.00000,169
13,2,0.09046,66.00000,30.00000,190
13,3,0.09464,59.00000,30.00000,186
13,4,0.09319,67.00000,30.00000,192
13,5,0.08972,57.00000,30.00000,183
14,0,0.09721,49.00000,35.00000,1289
14,1,0.10239,70.00000,30.00000,195
14,2,0.08400,58.00000,35.00000,171
14,3,0.09761,54.00000,35.00000,180
14,4,0.07721,47.00000,36.00000,181
14,5,0.10566,62.00000,30.00000,186
15,0,0.09314,67.00000,30.00000,740
15,1,0.09719,69.00000,30.00000,179
15,2,0.08873,68.00000,30.00000,190
15,3,0.09576,69.00000,30.00000,194
15,4,0.08240,59.00000,30.00000,182
15,5,0.08403,53.00000,35.00000,158
16,0,0.09631,41.00000,36.00000,942
16,1,0.09738,61.00000,35.00000,173
16,2,0.10033,49.00000,30.00000,190
16,3,0.08642,61.00000,30.00000,186
16,4,0.08273,64.00000,30.00000,191
16,5,0.09844,71.00000,30.00000,190
17,0,0.08535,64.00000,30.00000,1675
17,1,0.09786,62.00000,35.00000,162
17,2,0.08869,64.00000,35.00000,163
17,3,0.08790,52.00000,36.00000,162
17,4,0.09987,47.00000,36.00000,156
17,5,0.09136,55.00000,30.00000,161
18,0,0.08907,55.00000,35.00000,482
18,1,0.09049,61.00000,30.00000,160
18,2,0.10850,45.00000,35.00000,160
18,3,0.08931,67.00000,30.00000,190
18,4,0.09515,57.00000,35.00000,193
18,5,0.08849,54.00000,35.00000,158
19,0,0.09150,65.00000,36.00000,980
19,1,0.09377,55.00000,30.00000,157
19,2,0.09855,55.00000,35.00000,185
19,3,0.09304,53.00000,30.00000,151
19,4,0.09141,48.00000,35.00000,161
19,5,0.09469,62.00000,35.00000,189
20,0,0.09811,30.00000,36.00000,1319
20,1,0.08490,68.00000,30.00000,173
20,2,0.09531,54.00000,40.00000,193
20,3,0.09413,45.00000,40.00000,185
20,4,0.09485,55.00000,35.00000,158
20,5,0.10268,60.00000,35.00000,164
21,0,0.09138,45.00000,36.00000,1372
21,1,0.08206,54.00000,30.00000,156
21,2,0.10340,71.00000,36.00000,194
21,3,0.10140,60.00000,35.00000,192
21,4,0.09894,59.00000,36.00000,188
21,5,0.08885,49.00000,30.00000,189
22,0,0.09674,55.00000,36.00000,1788
22,1,0.09401,66.00000,30.00000,190
22,2,0.10094,57.00000,36.00000,188
22,3,0.10670,54.00000,36.00000,183
22,4,0.09096,67.00000,30.00000,185
22,5,0.10070,57.00000,35.00000,201
23,0,0.09219,58.00000,30.00000,357
23,1,0.09464,58.00000,35.00000,188
23,2,0.09637,46.00000,36.00000,193
23,3,0.09589,55.00000,30.00000,157
23,4,0.09039,56.00000,36.00000,195
23,5,0.09411,59.00000,30.00000,192
24,0,0.09289,50.00000,35.00000,1982
24,1,0.09294,47.00000,36.00000,260
24,2,0.09471,64.00000,30.00000,188
24,3,0.09239,69.00000,30.00000,195
24,4,0.09025,79.00000,30.00000,201
24,5,0.09003,59.00000,30.00000,195
25,0,0.09698,55.00000,30.00000,526
25,1,0.09238,68.00000,30.00000,165
25,2,0.08507,55.00000,35.00000,191
25,3,0.09709,53.00000,35.00000,182
25,4,0.08966,53.00000,35.00000,158
25,5,0.10103,66.00000,30.00000,160
26,0,0.08351,56.00000,35.00000,362
26,1,0.09038,61.00000,30.00000,176
26,2,0.09496,55.00000,36.00000,161
26,3,0.09397,61.00000,30.00000,160
26,4,0.10003,60.00000,30.00000,184
26,5,0.10067,67.00000,30.00000,187
27,0,0.09933,47.00000,35.00000,838
27,1,0.09770,65.00000,30.00000,161
27,2,0.10073,59.00000,35.00000,172
27,3,0.10068,74.00000,30.00000,171
27,4,0.10444,51.00000,36.00000,185
27,5,0.10511,58.00000,35.00000,188
28,0,0.09464,71.00000,30.00000,1286
28,1,0.11013,63.00000,36.00000,192
28,2,0.09373,47.00000,35.00000,183
28,3,0.10113,61.00000,30.00000,158
28,4,0.09077,55.00000,30.00000,155
28,5,0.10080,67.00000,30.00000,191
29,0,0.10084,46.00000,35.00000,1502
29,1,0.10420,62.00000,30.00000,308
29,2,0.10072,52.00000,36.00000,151
29,3,0.10521,55.00000,30.00000,183
29,4,0.09559,63.00000,35.00000,196
29,5,0.09328,53.00000,35.00000,183
30,0,0.09566,66.00000,35.00000,322
30,1,0.10213,64.00000,30.00000,179
30,2,0.09777,57.00000,35.00000,186
30,3,0.09737,62.00000,35.00000,192
30,4,0.09292,62.00000,30.00000,184
30,5,0.08974,65.00000,35.00000,196
31,0,0.08645,49.00000,36.00000,568
31,1,0.09114,52.00000,36.00000,168
31,2,0.10503,58.00000,36.00000,162
31,3,0.10359,55.00000,30.00000,184
31,4,0.09542,63.00000,30.00000,159
31,5,0.09859,67.00000,30.00000,187
32,0,0.10311,61.00000,30.00000,599
32,1,0.10809,42.00000,40.00000,163
32,2,0.10033,35.00000,36.00000,158
32,3,0.10368,64.00000,30.00000,163
32,4,0.09775,58.00000,36.00000,161
32,5,0.09588,55.00000,30.00000,156
33,0,0.10472,70.00000,30.00000,412
33,1,0.10276,62.00000,35.00000,176
33,2,0.09683,52.00000,35.00000,154
33,3,0.10822,63.00000,35.00000,192
33,4,0.09100,72.00000,30.00000,168
33,5,0.09556,51.00000,35.00000,156
34,0,0.09061,62.00000,30.00000,1084
34,1,0.10575,65.00000,30.00000,178
34,2,0.09469,49.00000,36.00000,164
34,3,0.10153,64.00000,35.00000,194
34,4,0.09062,58.00000,35.00000,177
34,5,0.10187,65.00000,30.00000,183
35,0,0.09193,51.00000,35.00000,459
35,1,0.10181,58.00000,36.00000,185
35,2,0.10373,71.00000,30.00000,192
35,3,0.10274,30.00000,36.00000,145
35,4,0.09608,57.00000,35.00000,160
35,5,0.10443,47.00000,35.00000,153
36,0,0.08995,57.00000,30.00000,259
36,1,0.10541,52.00000,35.00000,174
36,2,0.09756,59.00000,30.00000,164
36,3,0.08938,49.00000,36.00000,185
36,4,0.09176,63.00000,35.00000,186
36,5,0.09487,55.00000,36.00000,180
37,0,0.09496,54.00000,35.00000,637
37,1,0.08986,67.00000,30.00000,166
37,2,0.09735,63.00000,35.00000,166
37,3,0.09103,56.00000,40.00000,187
37,4,0.09365,64.00000,30.00000,168
37,5,0.08820,59.00000,36.00000,185
38,0,0.10000,41.00000,40.00000,738
38,1,0.08304,31.00000,36.00000,166
38,2,0.08915,58.00000,35.00000,189
38,3,0.09407,63.00000,36.00000,190
38,4,0.08444,69.00000,30.00000,191
38,5,0.08942,69.00000,30.00000,192
39,0,0.08997,65.00000,35.00000,715
39,1,0.08603,68.00000,30.00000,163
39,2,0.09468,60.00000,30.00000,207
39,3,0.09128,53.00000,35.00000,190
39,4,0.11265,54.00000,35.00000,156
39,5,0.08983,62.00000,35.00000,161
40,0,0.10056,63.00000,35.00000,196
40,1,0.08328,40.00000,36.00000,171
40,2,0.09661,43.00000,35.00000,166
40,3,0.10711,48.00000,36.00000,189
40,4,0.10008,64.00000,35.00000,193
40,5,0.08821,57.00000,35.00000,189
41,0,0.08443,41.00000,36.00000,1575
41,1,0.08714,60.00000,35.00000,171
41,2,0.08651,55.00000,35.00000,157
41,3,0.09345,69.00000,30.00000,196
41,4,0.09174,61.00000,30.00000,187
41,5,0.08998,41.00000,35.00000,219
42,0,0.08605,57.00000,36.00000,455
42,1,0.08646,73.00000,30.00000,172
42,2,0.09452,47.00000,35.00000,184
42,3,0.07944,72.00000,30.00000,170
42,4,0.08586,66.00000,30.00000,183
42,5,0.08954,58.00000,35.00000,159
43,0,0.08696,54.00000,35.00000,1442
43,1,0.08649,54.00000,30.00000,155
43,2,0.10057,60.00000,35.00000,189
43,3,0.07896,66.00000,30.00000,185
43,4,0.08467,59.00000,35.00000,159
43,5,0.07930,68.00000,30.00000,190
44,0,0.08101,55.00000,35.00000,178
44,1,0.08699,54.00000,30.00000,185
44,2,0.08996,52.00000,36.00000,186
44,3,0.10067,50.00000,35.00000,180
44,4,0.08379,55.00000,35.00000,184
44,5,0.08464,65.00000,35.00000,193
45,0,0.08379,64.00000,30.00000,1162
45,1,0.08410,60.00000,30.00000,186
45,2,0.08098,65.00000,30.00000,160
45,3,0.08203,54.00000,35.00000,185
45,4,0.08146,48.00000,36.00000,187
45,5,0.08786,56.00000,35.00000,192
46,0,0.08575,55.00000,36.00000,1149
46,1,0.07498,67.00000,30.00000,177
46,2,0.08849,58.00000,35.00000,163
46,3,0.08283,73.00000,30.00000,169
46,4,0.08643,41.00000,40.00000,177
46,5,0.08280,64.00000,30.00000,188
47,0,0.07850,53.00000,36.00000,1519
47,1,0.08306,66.00000,35.00000,179
47,2,0.09504,46.00000,35.00000,144
47,3,0.09970,56.00000,36.00000,157
47,4,0.08465,57.00000,35.00000,169
47,5,0.08771,60.00000,35.00000,163
48,0,0.07801,60.00000,35.00000,1451
48,1,0.08763,44.00000,36.00000,159
48,2,0.08588,52.00000,35.00000,159
48,3,0.08415,55.00000,30.00000,160
48,4,0.08475,65.00000,30.00000,203
48,5,0.07720,64.00000,30.00000,191
49,0,0.07747,67.00000,30.00000,1243
49,1,0.08977,56.00000,35.00000,171
49,2,0.08228,61.00000,30.00000,161
49,3,0.08219,55.00000,40.00000,159
49,4,0.08594,62.00000,30.00000,184
49,5,0.08094,65.00000,30.00000,163
