epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.44333,45.00000,35.00000,8950
1,1,0.33862,53.00000,35.00000,107
1,2,0.29634,55.00000,35.00000,99
1,3,0.27298,49.00000,30.00000,90
1,4,0.25244,49.00000,36.00000,91
1,5,0.23920,65.00000,30.00000,99
2,0,0.22772,59.00000,30.00000,123
2,1,0.20442,59.00000,30.00000,109
2,2,0.19688,65.00000,30.00000,98
2,3,0.17785,62.00000,30.00000,95
2,4,0.16971,61.00000,35.00000,96
2,5,0.15768,61.00000,30.00000,94
3,0,0.14950,50.00000,36.00000,113
3,1,0.13047,63.00000,30.00000,109
3,2,0.13497,57.00000,30.00000,90
3,3,0.13263,69.00000,30.00000,98
3,4,0.13044,49.00000,30.00000,86
3,5,0.12210,56.00000,36.00000,94
4,0,0.11473,58.00000,36.00000,130
4,1,0.10950,52.00000,36.00000,107
4,2,0.10611,42.00000,36.00000,98
4,3,0.11045,25.00000,36.00000,77
4,4,0.10380,70.00000,30.00000,99
4,5,0.09747,41.00000,35.00000,84
5,0,0.09933,58.00000,35.00000,134
5,1,0.10843,45.00000,35.00000,93
5,2,0.08206,70.00000,30.00000,105
5,3,0.10102,51.00000,35.00000,90
5,4,0.23926,44.00000,40.00000,90
5,5,0.10448,55.00000,35.00000,92
6,0,0.13473,42.00000,35.00000,116
6,1,0.11224,48.00000,35.00000,106
6,2,0.09971,59.00000,30.00000,94
6,3,0.10129,46.00000,35.00000,88
6,4,0.10421,58.00000,35.00000,96
6,5,0.09727,68.00000,30.00000,98
7,0,0.09205,55.00000,35.00000,121
7,1,0.09264,60.00000,30.00000,99
7,2,0.08151,52.00000,30.00000,94
7,3,0.07644,61.00000,30.00000,96
7,4,0.09501,43.00000,36.00000,88
7,5,0.09680,45.00000,36.00000,89
8,0,0.08346,43.00000,36.00000,128
8,1,0.07236,55.00000,30.00000,108
8,2,0.07103,57.00000,35.00000,95
8,3,0.08223,59.00000,35.00000,98
8,4,0.07475,61.00000,35.00000,96
8,5,0.07178,55.00000,30.00000,91
9,0,0.07249,59.00000,36.00000,132
9,1,0.07135,57.00000,35.00000,98
9,2,0.08367,53.00000,35.00000,94
9,3,0.07139,47.00000,40.00000,92
9,4,0.06239,66.00000,30.00000,97
9,5,0.06879,50.00000,35.00000,91
10,0,0.06995,61.00000,35.00000,126
10,1,0.06744,62.00000,30.00000,117
10,2,0.05991,65.00000,30.00000,98
10,3,0.06636,49.00000,35.00000,89
10,4,0.05952,36.00000,36.00000,82
10,5,0.06586,67.00000,30.00000,97
11,0,0.06397,61.00000,30.00000,140
11,1,0.06120,55.00000,35.00000,100
11,2,0.05315,54.00000,30.00000,91
11,3,0.04835,49.00000,30.00000,88
11,4,0.06812,45.00000,35.00000,87
11,5,0.06011,44.00000,35.00000,89
12,0,0.06394,48.00000,35.00000,140
12,1,0.06390,52.00000,35.00000,101
12,2,0.07122,65.00000,30.00000,97
12,3,0.05645,55.00000,36.00000,94
12,4,0.05296,53.00000,36.00000,92
12,5,0.05513,48.00000,36.00000,90
13,0,0.06079,71.00000,30.00000,144
13,1,0.06995,61.00000,30.00000,106
13,2,0.05125,52.00000,35.00000,92
13,3,0.05092,60.00000,35.00000,97
13,4,0.05660,43.00000,36.00000,86
13,5,0.05463,41.00000,36.00000,85
14,0,0.05209,70.00000,30.00000,130
14,1,0.05642,55.00000,35.00000,106
14,2,0.05700,68.00000,30.00000,97
14,3,0.06270,49.00000,40.00000,91
14,4,0.05128,45.00000,36.00000,87
14,5,0.06450,50.00000,35.00000,89
15,0,0.05276,64.00000,30.00000,141
15,1,0.06158,55.00000,35.00000,103
15,2,0.07062,50.00000,35.00000,90
15,3,0.05428,59.00000,35.00000,96
15,4,0.06078,52.00000,35.00000,92
15,5,0.05498,60.00000,35.00000,97
16,0,0.04872,63.00000,30.00000,149
16,1,0.05337,57.00000,30.00000,114
16,2,0.06020,49.00000,35.00000,94
16,3,0.05497,61.00000,30.00000,94
16,4,0.05493,55.00000,30.00000,90
16,5,0.05352,60.00000,30.00000,93
17,0,0.05711,59.00000,30.00000,118
17,1,0.06628,59.00000,30.00000,105
17,2,0.05042,70.00000,30.00000,101
17,3,0.06902,57.00000,35.00000,94
17,4,0.05446,70.00000,30.00000,100
17,5,0.05639,61.00000,30.00000,95
18,0,0.04936,50.00000,35.00000,131
18,1,0.04198,54.00000,30.00000,106
18,2,0.05459,62.00000,30.00000,103
18,3,0.06372,48.00000,35.00000,90
18,4,0.07338,51.00000,36.00000,90
18,5,0.05849,58.00000,35.00000,96
19,0,0.05139,61.00000,30.00000,142
19,1,0.06940,67.00000,30.00000,112
19,2,0.05179,59.00000,30.00000,94
19,3,0.05202,51.00000,35.00000,90
19,4,0.05203,54.00000,35.00000,92
19,5,0.05945,52.00000,35.00000,91
20,0,0.05847,63.00000,30.00000,128
20,1,0.05223,58.00000,30.00000,94
20,2,0.06779,60.00000,30.00000,95
20,3,0.09264,57.00000,35.00000,95
20,4,0.04576,58.00000,36.00000,108
20,5,0.03937,64.00000,30.00000,113
