epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.44406,66.00000,30.00000,5557
1,1,0.35471,58.00000,35.00000,338
1,2,0.32404,65.00000,30.00000,188
1,3,0.30972,53.00000,36.00000,132
1,4,0.29954,70.00000,30.00000,171
1,5,0.28119,59.00000,30.00000,102
1,6,0.28421,49.00000,30.00000,137
1,7,0.27013,53.00000,35.00000,131
1,8,0.24771,49.00000,35.00000,153
1,9,0.25414,60.00000,35.00000,155
1,10,0.24104,62.00000,30.00000,139
1,11,0.23062,56.00000,36.00000,108
1,12,0.23440,68.00000,30.00000,159
1,13,0.22349,58.00000,30.00000,104
1,14,0.19876,55.00000,36.00000,168
1,15,0.19822,57.00000,30.00000,104
1,16,0.20956,61.00000,35.00000,127
1,17,0.18836,52.00000,36.00000,165
1,18,0.17723,67.00000,30.00000,126
1,19,0.17562,65.00000,30.00000,137
1,20,0.16899,73.00000,30.00000,128
2,0,0.16584,55.00000,36.00000,823
2,1,0.16073,57.00000,35.00000,136
2,2,0.15054,48.00000,35.00000,117
2,3,0.15927,57.00000,35.00000,115
2,4,0.15451,53.00000,40.00000,114
2,5,0.15329,52.00000,36.00000,148
2,6,0.15537,53.00000,35.00000,172
2,7,0.15948,53.00000,35.00000,138
2,8,0.14358,51.00000,36.00000,97
2,9,0.13484,66.00000,30.00000,139
2,10,0.13526,63.00000,30.00000,123
2,11,0.13805,57.00000,36.00000,115
2,12,0.13822,61.00000,30.00000,121
2,13,0.12801,59.00000,35.00000,155
2,14,0.13387,63.00000,35.00000,141
2,15,0.12417,67.00000,30.00000,132
2,16,0.11142,55.00000,35.00000,146
2,17,0.12273,42.00000,36.00000,137
2,18,0.12711,47.00000,35.00000,125
2,19,0.11842,66.00000,30.00000,145
2,20,0.11831,62.00000,30.00000,128
3,0,0.12991,64.00000,35.00000,1157
3,1,0.11977,66.00000,36.00000,128
3,2,0.11667,55.00000,35.00000,167
3,3,0.12632,64.00000,36.00000,144
3,4,0.10494,48.00000,40.00000,128
3,5,0.10754,67.00000,30.00000,114
3,6,0.10439,52.00000,35.00000,163
3,7,0.12156,67.00000,30.00000,99
3,8,0.11267,69.00000,30.00000,95
3,9,0.10235,59.00000,35.00000,117
3,10,0.10487,57.00000,35.00000,151
3,11,0.11878,53.00000,30.00000,130
3,12,0.11170,43.00000,36.00000,141
3,13,0.10795,55.00000,35.00000,142
3,14,0.11714,58.00000,30.00000,145
3,15,0.11675,69.00000,30.00000,112
3,16,0.11307,57.00000,30.00000,131
3,17,0.10944,62.00000,35.00000,134
3,18,0.12723,54.00000,35.00000,139
3,19,0.10319,59.00000,30.00000,141
3,20,0.11755,55.00000,35.00000,129
4,0,0.12928,46.00000,35.00000,1054
4,1,0.11142,47.00000,36.00000,139
4,2,0.11176,57.00000,36.00000,137
4,3,0.11178,46.00000,36.00000,163
4,4,0.12356,45.00000,35.00000,172
4,5,0.11185,30.00000,36.00000,137
4,6,0.10609,61.00000,30.00000,133
4,7,0.11345,68.00000,30.00000,119
4,8,0.12881,61.00000,35.00000,101
4,9,0.11391,57.00000,35.00000,106
4,10,0.11310,53.00000,35.00000,172
4,11,0.11920,43.00000,36.00000,110
4,12,0.11118,59.00000,30.00000,139
4,13,0.12052,49.00000,40.00000,134
4,14,0.12047,64.00000,30.00000,143
4,15,0.09464,66.00000,30.00000,110
