epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.44513,53.00000,35.00000,7011
1,1,0.35491,55.00000,30.00000,503
1,2,0.31883,46.00000,35.00000,203
1,3,0.30033,41.00000,36.00000,207
1,4,0.28976,61.00000,30.00000,217
1,5,0.28042,63.00000,30.00000,205
1,6,0.26956,54.00000,35.00000,214
1,7,0.25988,58.00000,30.00000,215
1,8,0.24276,52.00000,35.00000,210
1,9,0.23896,64.00000,30.00000,199
1,10,0.22769,57.00000,35.00000,194
1,11,0.22190,61.00000,30.00000,199
1,12,0.20995,51.00000,30.00000,195
1,13,0.19922,59.00000,30.00000,185
1,14,0.19002,60.00000,30.00000,220
1,15,0.18717,52.00000,36.00000,198
1,16,0.17056,54.00000,30.00000,203
1,17,0.16613,35.00000,36.00000,228
1,18,0.16045,57.00000,30.00000,207
1,19,0.15744,43.00000,36.00000,201
1,20,0.14906,62.00000,30.00000,218
1,21,0.14307,45.00000,36.00000,212
1,22,0.15328,42.00000,36.00000,311
1,23,0.14519,46.00000,35.00000,209
1,24,0.14218,53.00000,36.00000,326
1,25,0.13620,59.00000,35.00000,233
1,26,0.14389,55.00000,35.00000,183
1,27,0.13257,43.00000,40.00000,246
1,28,0.13596,52.00000,35.00000,211
1,29,0.12952,55.00000,30.00000,177
1,30,0.13939,49.00000,35.00000,211
1,31,0.13148,63.00000,30.00000,189
1,32,0.12439,50.00000,35.00000,322
1,33,0.13500,52.00000,35.00000,180
1,34,0.12389,53.00000,35.00000,209
2,0,0.12375,43.00000,36.00000,1342
2,1,0.11870,61.00000,30.00000,313
2,2,0.11130,64.00000,30.00000,209
2,3,0.11846,64.00000,30.00000,199
2,4,0.11476,57.00000,30.00000,191
2,5,0.11217,50.00000,35.00000,188
2,6,0.11527,47.00000,35.00000,196
2,7,0.11074,42.00000,36.00000,203
2,8,0.11452,49.00000,36.00000,204
2,9,0.11452,50.00000,35.00000,187
2,10,0.11077,64.00000,30.00000,1354
2,11,0.10640,59.00000,30.00000,303
2,12,0.10851,61.00000,30.00000,223
2,13,0.10887,40.00000,40.00000,191
2,14,0.10678,52.00000,35.00000,187
2,15,0.11329,51.00000,35.00000,224
2,16,0.10947,50.00000,35.00000,188
2,17,0.10785,41.00000,36.00000,196
2,18,0.10518,50.00000,35.00000,234
2,19,0.11458,59.00000,30.00000,195
2,20,0.10771,49.00000,30.00000,1279
2,21,0.10984,61.00000,30.00000,241
2,22,0.11267,46.00000,35.00000,183
2,23,0.10507,63.00000,30.00000,195
2,24,0.10848,45.00000,35.00000,195
2,25,0.10623,61.00000,30.00000,195
2,26,0.10539,59.00000,35.00000,189
2,27,0.11781,52.00000,36.00000,214
2,28,0.10938,55.00000,30.00000,206
2,29,0.10220,52.00000,35.00000,199
2,30,0.10901,49.00000,35.00000,1128
2,31,0.10476,50.00000,36.00000,192
2,32,0.10013,46.00000,35.00000,226
2,33,0.11240,53.00000,35.00000,215
2,34,0.10219,41.00000,36.00000,203
3,0,0.11203,59.00000,30.00000,1833
3,1,0.10817,63.00000,30.00000,200
3,2,0.10421,49.00000,35.00000,189
3,3,0.10464,40.00000,36.00000,196
3,4,0.10701,53.00000,35.00000,193
3,5,0.10470,53.00000,30.00000,189
3,6,0.10958,59.00000,30.00000,198
3,7,0.10947,45.00000,36.00000,207
3,8,0.10734,50.00000,36.00000,210
3,9,0.10470,35.00000,36.00000,195
3,10,0.10347,60.00000,35.00000,1718
3,11,0.10428,37.00000,40.00000,192
3,12,0.11267,64.00000,30.00000,191
3,13,0.10685,48.00000,35.00000,198
3,14,0.10389,44.00000,35.00000,211
3,15,0.10519,61.00000,30.00000,216
3,16,0.11578,42.00000,35.00000,191
3,17,0.10754,56.00000,35.00000,193
3,18,0.10836,50.00000,35.00000,210
3,19,0.10571,53.00000,35.00000,213
3,20,0.10854,59.00000,30.00000,1664
3,21,0.10459,56.00000,30.00000,188
3,22,0.10526,58.00000,30.00000,196
3,23,0.11127,66.00000,30.00000,197
3,24,0.10842,62.00000,30.00000,196
3,25,0.10274,57.00000,30.00000,197
3,26,0.10399,49.00000,30.00000,193
3,27,0.10719,54.00000,30.00000,196
3,28,0.11144,48.00000,35.00000,200
3,29,0.10701,51.00000,35.00000,201
3,30,0.11154,40.00000,35.00000,1402
3,31,0.10170,58.00000,30.00000,186
3,32,0.09854,57.00000,30.00000,182
3,33,0.10468,67.00000,30.00000,195
3,34,0.09964,46.00000,35.00000,173
4,0,0.11238,63.00000,30.00000,1159
4,1,0.10186,56.00000,35.00000,242
4,2,0.10640,61.00000,30.00000,196
4,3,0.10408,55.00000,35.00000,194
4,4,0.10019,44.00000,35.00000,192
4,5,0.10228,61.00000,30.00000,199
4,6,0.09750,54.00000,35.00000,192
4,7,0.10501,49.00000,36.00000,188
4,8,0.10201,63.00000,30.00000,210
4,9,0.10416,55.00000,35.00000,190
4,10,0.10944,63.00000,30.00000,1556
4,11,0.10522,60.00000,30.00000,186
4,12,0.10446,40.00000,36.00000,329
4,13,0.09600,37.00000,36.00000,195
4,14,0.09612,60.00000,30.00000,195
4,15,0.10462,64.00000,30.00000,201
4,16,0.09914,52.00000,30.00000,188
4,17,0.09817,62.00000,30.00000,205
4,18,0.10309,58.00000,30.00000,194
4,19,0.10010,59.00000,30.00000,187
4,20,0.09642,49.00000,30.00000,1253
4,21,0.10358,42.00000,35.00000,205
4,22,0.10763,63.00000,30.00000,391
4,23,0.10864,31.00000,36.00000,214
4,24,0.10404,68.00000,30.00000,195
4,25,0.10087,47.00000,36.00000,210
4,26,0.10359,47.00000,35.00000,194
4,27,0.10610,53.00000,35.00000,209
4,28,0.10274,44.00000,35.00000,198
4,29,0.10691,44.00000,35.00000,191
4,30,0.09930,58.00000,30.00000,1538
4,31,0.10058,51.00000,35.00000,183
4,32,0.10531,41.00000,35.00000,178
4,33,0.11002,42.00000,36.00000,184
4,34,0.11281,51.00000,35.00000,180
