epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.44496,73.00000,30.00000,4698
1,1,0.35276,71.00000,30.00000,292
1,2,0.31730,46.00000,36.00000,187
1,3,0.30286,65.00000,35.00000,148
1,4,0.28609,64.00000,35.00000,117
1,5,0.27109,52.00000,35.00000,142
2,0,0.26277,45.00000,35.00000,269
2,1,0.24352,67.00000,30.00000,167
2,2,0.25542,58.00000,30.00000,102
2,3,0.22722,66.00000,30.00000,146
2,4,0.21019,49.00000,30.00000,137
2,5,0.21197,61.00000,30.00000,142
3,0,0.20331,49.00000,36.00000,856
3,1,0.20160,49.00000,36.00000,220
3,2,0.18090,61.00000,30.00000,96
3,3,0.18075,62.00000,30.00000,97
3,4,0.16723,44.00000,36.00000,95
3,5,0.18609,55.00000,35.00000,138
4,0,0.15467,61.00000,35.00000,958
4,1,0.15744,53.00000,40.00000,119
4,2,0.16219,49.00000,35.00000,90
4,3,0.15012,61.00000,30.00000,89
4,4,0.15890,63.00000,35.00000,112
4,5,0.14507,68.00000,35.00000,168
5,0,0.14197,58.00000,35.00000,155
5,1,0.13586,60.00000,35.00000,102
5,2,0.14091,58.00000,30.00000,92
5,3,0.14079,48.00000,36.00000,107
5,4,0.13740,42.00000,35.00000,164
5,5,0.15091,61.00000,35.00000,140
6,0,0.13524,67.00000,30.00000,680
6,1,0.13262,47.00000,36.00000,145
6,2,0.13154,53.00000,35.00000,150
6,3,0.12906,53.00000,35.00000,140
6,4,0.12411,65.00000,30.00000,135
6,5,0.12723,48.00000,36.00000,136
7,0,0.13045,63.00000,35.00000,1066
7,1,0.14269,53.00000,35.00000,102
7,2,0.13377,58.00000,30.00000,129
7,3,0.13704,57.00000,36.00000,93
7,4,0.14276,48.00000,35.00000,93
7,5,0.14654,48.00000,40.00000,96
8,0,0.12650,68.00000,30.00000,880
8,1,0.12515,57.00000,35.00000,104
8,2,0.12592,59.00000,36.00000,119
8,3,0.12125,61.00000,30.00000,133
8,4,0.13799,59.00000,30.00000,118
8,5,0.13677,64.00000,30.00000,136
9,0,0.12310,55.00000,35.00000,1357
9,1,0.12201,70.00000,30.00000,161
9,2,0.13425,47.00000,36.00000,89
9,3,0.12449,55.00000,36.00000,94
9,4,0.13302,57.00000,35.00000,141
9,5,0.12387,53.00000,35.00000,135
10,0,0.12496,50.00000,36.00000,96
10,1,0.12377,53.00000,35.00000,110
10,2,0.12626,50.00000,35.00000,136
10,3,0.11905,52.00000,30.00000,133
10,4,0.15677,72.00000,30.00000,137
10,5,0.15278,55.00000,36.00000,137
11,0,0.14787,55.00000,35.00000,1181
11,1,0.15038,67.00000,35.00000,153
11,2,0.14638,49.00000,40.00000,137
11,3,0.14299,50.00000,35.00000,135
11,4,0.11815,61.00000,35.00000,135
11,5,0.15263,59.00000,30.00000,140
12,0,0.15510,62.00000,30.00000,1263
12,1,0.15449,61.00000,35.00000,148
12,2,0.16089,49.00000,35.00000,134
12,3,0.17432,49.00000,35.00000,131
12,4,0.15573,64.00000,30.00000,140
12,5,0.15719,71.00000,30.00000,118
13,0,0.15777,63.00000,30.00000,118
13,1,0.13501,63.00000,30.00000,106
13,2,0.14213,61.00000,30.00000,102
13,3,0.14530,62.00000,30.00000,122
13,4,0.15720,61.00000,35.00000,131
13,5,0.14922,67.00000,30.00000,137
14,0,0.13652,67.00000,30.00000,1265
14,1,0.14736,45.00000,35.00000,136
14,2,0.14030,49.00000,35.00000,107
14,3,0.15268,65.00000,35.00000,137
14,4,0.12850,64.00000,30.00000,137
14,5,0.15512,49.00000,36.00000,130
15,0,0.12963,59.00000,30.00000,1545
15,1,0.14705,56.00000,35.00000,133
15,2,0.14904,65.00000,30.00000,102
15,3,0.13277,63.00000,30.00000,121
15,4,0.13387,60.00000,30.00000,152
15,5,0.15339,68.00000,30.00000,159
16,0,0.14929,68.00000,30.00000,1323
16,1,0.15284,61.00000,30.00000,112
16,2,0.14065,50.00000,35.00000,98
16,3,0.14386,59.00000,30.00000,132
16,4,0.14547,61.00000,30.00000,123
16,5,0.14518,59.00000,36.00000,92
17,0,0.13601,74.00000,30.00000,1116
17,1,0.14671,48.00000,36.00000,113
17,2,0.13870,59.00000,36.00000,137
17,3,0.11930,65.00000,30.00000,134
17,4,0.15529,45.00000,35.00000,144
17,5,0.15095,52.00000,35.00000,139
18,0,0.14532,66.00000,30.00000,1218
18,1,0.12540,53.00000,35.00000,109
18,2,0.15918,72.00000,30.00000,92
18,3,0.12666,48.00000,35.00000,93
18,4,0.15720,65.00000,35.00000,89
18,5,0.15385,52.00000,35.00000,101
19,0,0.15011,46.00000,36.00000,104
19,1,0.14610,61.00000,30.00000,95
19,2,0.15740,69.00000,30.00000,126
19,3,0.13911,52.00000,35.00000,120
19,4,0.13543,49.00000,35.00000,104
19,5,0.13215,59.00000,35.00000,160
20,0,0.13838,66.00000,35.00000,1301
20,1,0.13300,59.00000,30.00000,127
20,2,0.15284,51.00000,36.00000,106
20,3,0.13887,39.00000,40.00000,134
20,4,0.13761,42.00000,40.00000,152
20,5,0.14496,49.00000,35.00000,95
21,0,0.13966,53.00000,35.00000,106
21,1,0.14565,59.00000,36.00000,115
21,2,0.15794,46.00000,36.00000,99
21,3,0.13729,65.00000,30.00000,111
21,4,0.13867,60.00000,30.00000,107
21,5,0.13278,55.00000,36.00000,138
22,0,0.13158,50.00000,36.00000,981
22,1,0.13958,58.00000,35.00000,105
22,2,0.14666,71.00000,30.00000,107
22,3,0.13854,50.00000,36.00000,130
22,4,0.15618,61.00000,30.00000,139
22,5,0.15275,62.00000,36.00000,164
23,0,0.15156,64.00000,30.00000,1435
23,1,0.14250,61.00000,30.00000,112
23,2,0.14971,49.00000,36.00000,120
23,3,0.14205,51.00000,36.00000,168
23,4,0.14179,59.00000,35.00000,137
23,5,0.14154,69.00000,30.00000,136
24,0,0.14792,59.00000,36.00000,1421
24,1,0.13615,61.00000,30.00000,103
24,2,0.15211,68.00000,30.00000,103
24,3,0.13527,50.00000,35.00000,101
24,4,0.14977,61.00000,30.00000,139
24,5,0.14917,62.00000,30.00000,119
25,0,0.14835,76.00000,30.00000,1183
25,1,0.14432,51.00000,35.00000,139
25,2,0.13207,70.00000,30.00000,135
25,3,0.15247,53.00000,35.00000,135
25,4,0.15840,54.00000,35.00000,116
25,5,0.14932,67.00000,30.00000,139
26,0,0.14321,72.00000,30.00000,359
26,1,0.13362,55.00000,36.00000,136
26,2,0.15427,64.00000,30.00000,136
26,3,0.14384,57.00000,35.00000,138
26,4,0.14965,73.00000,30.00000,137
26,5,0.15337,57.00000,30.00000,138
27,0,0.15936,55.00000,35.00000,242
27,1,0.15953,50.00000,35.00000,98
27,2,0.15086,66.00000,30.00000,141
27,3,0.14321,53.00000,30.00000,136
27,4,0.14688,57.00000,36.00000,139
27,5,0.13942,61.00000,35.00000,175
28,0,0.14580,67.00000,30.00000,1160
28,1,0.17174,60.00000,36.00000,108
28,2,0.15805,66.00000,30.00000,111
28,3,0.12922,67.00000,30.00000,124
28,4,0.12770,68.00000,30.00000,141
28,5,0.14246,67.00000,35.00000,157
29,0,0.15412,63.00000,30.00000,429
29,1,0.13958,55.00000,35.00000,92
29,2,0.14557,54.00000,36.00000,95
29,3,0.14838,50.00000,35.00000,113
29,4,0.14249,52.00000,35.00000,102
29,5,0.14656,72.00000,30.00000,111
30,0,0.16099,69.00000,30.00000,342
30,1,0.15346,58.00000,35.00000,130
30,2,0.13558,69.00000,30.00000,100
30,3,0.14728,60.00000,35.00000,91
30,4,0.14820,62.00000,35.00000,87
30,5,0.13829,50.00000,35.00000,85
31,0,0.14145,43.00000,36.00000,1606
31,1,0.14094,56.00000,36.00000,144
31,2,0.14390,61.00000,30.00000,102
31,3,0.15129,66.00000,30.00000,110
31,4,0.15178,53.00000,30.00000,105
31,5,0.13548,51.00000,36.00000,106
32,0,0.15365,49.00000,36.00000,934
32,1,0.14270,69.00000,30.00000,135
32,2,0.14389,61.00000,30.00000,94
32,3,0.16298,54.00000,40.00000,129
32,4,0.13836,63.00000,36.00000,148
32,5,0.13910,65.00000,30.00000,153
33,0,0.14113,59.00000,30.00000,866
33,1,0.15264,55.00000,35.00000,104
33,2,0.16829,44.00000,35.00000,140
33,3,0.13939,59.00000,30.00000,137
33,4,0.15085,51.00000,35.00000,138
33,5,0.14534,54.00000,35.00000,135
34,0,0.14855,57.00000,36.00000,354
34,1,0.13244,61.00000,30.00000,110
34,2,0.14621,64.00000,30.00000,121
34,3,0.15314,61.00000,35.00000,125
34,4,0.14532,54.00000,30.00000,99
34,5,0.15734,45.00000,35.00000,110
35,0,0.14231,51.00000,35.00000,1285
35,1,0.15480,73.00000,30.00000,116
35,2,0.15947,46.00000,36.00000,123
35,3,0.14282,49.00000,35.00000,113
35,4,0.14540,57.00000,35.00000,135
35,5,0.14199,49.00000,36.00000,122
36,0,0.14983,57.00000,36.00000,1582
36,1,0.16102,48.00000,36.00000,150
36,2,0.15516,64.00000,35.00000,118
36,3,0.13671,66.00000,30.00000,112
36,4,0.14945,58.00000,35.00000,111
36,5,0.12871,62.00000,30.00000,117
37,0,0.14548,55.00000,35.00000,1379
37,1,0.13964,57.00000,36.00000,138
37,2,0.14918,59.00000,40.00000,134
37,3,0.14222,70.00000,30.00000,87
37,4,0.14910,54.00000,35.00000,133
37,5,0.14436,58.00000,30.00000,122
38,0,0.16181,46.00000,36.00000,922
38,1,0.14153,66.00000,30.00000,163
38,2,0.14045,67.00000,30.00000,136
38,3,0.13813,41.00000,36.00000,118
38,4,0.13856,44.00000,40.00000,141
38,5,0.14774,57.00000,35.00000,139
39,0,0.13779,59.00000,30.00000,1333
39,1,0.14800,53.00000,35.00000,131
39,2,0.15077,63.00000,30.00000,136
39,3,0.14720,63.00000,35.00000,90
39,4,0.16415,49.00000,35.00000,110
39,5,0.13988,67.00000,35.00000,122
40,0,0.16044,43.00000,36.00000,2012
40,1,0.12800,56.00000,35.00000,112
40,2,0.14132,55.00000,35.00000,144
40,3,0.15390,47.00000,35.00000,106
40,4,0.14365,60.00000,35.00000,150
40,5,0.15845,47.00000,36.00000,142
41,0,0.13311,57.00000,35.00000,1172
41,1,0.13106,55.00000,36.00000,113
41,2,0.14862,72.00000,30.00000,134
41,3,0.16009,61.00000,35.00000,118
41,4,0.15363,65.00000,30.00000,134
41,5,0.15709,59.00000,35.00000,138
42,0,0.13496,61.00000,30.00000,1192
42,1,0.14570,55.00000,36.00000,99
42,2,0.14082,42.00000,35.00000,91
42,3,0.13218,71.00000,30.00000,125
42,4,0.14210,69.00000,30.00000,89
42,5,0.15059,51.00000,35.00000,87
43,0,0.14635,62.00000,30.00000,516
43,1,0.14095,66.00000,30.00000,111
43,2,0.16352,53.00000,35.00000,100
43,3,0.13602,60.00000,35.00000,95
43,4,0.12553,69.00000,30.00000,142
43,5,0.14070,60.00000,35.00000,162
44,0,0.13794,67.00000,30.00000,1279
44,1,0.15064,57.00000,35.00000,156
44,2,0.14423,65.00000,35.00000,121
44,3,0.14963,55.00000,36.00000,115
44,4,0.13282,59.00000,35.00000,137
44,5,0.14742,57.00000,35.00000,134
45,0,0.13567,65.00000,30.00000,1369
45,1,0.13880,55.00000,36.00000,120
45,2,0.14543,60.00000,35.00000,103
45,3,0.14394,55.00000,30.00000,103
45,4,0.13270,69.00000,30.00000,104
45,5,0.14011,49.00000,35.00000,139
46,0,0.13458,49.00000,40.00000,516
46,1,0.13131,70.00000,30.00000,114
46,2,0.14737,49.00000,36.00000,132
46,3,0.14298,65.00000,30.00000,159
46,4,0.13905,61.00000,30.00000,93
46,5,0.14163,52.00000,35.00000,120
47,0,0.14010,56.00000,36.00000,912
47,1,0.14950,49.00000,35.00000,134
47,2,0.13928,60.00000,35.00000,131
47,3,0.13937,54.00000,35.00000,123
47,4,0.14055,42.00000,36.00000,119
47,5,0.13110,51.00000,35.00000,100
48,0,0.12876,73.00000,30.00000,248
48,1,0.15168,61.00000,35.00000,109
48,2,0.14722,49.00000,30.00000,96
48,3,0.14018,49.00000,36.00000,103
48,4,0.14017,59.00000,30.00000,94
48,5,0.15653,57.00000,35.00000,156
49,0,0.12995,50.00000,40.00000,752
49,1,0.15281,62.00000,30.00000,138
49,2,0.13561,69.00000,30.00000,137
49,3,0.14203,64.00000,30.00000,135
49,4,0.13682,68.00000,30.00000,140
49,5,0.14653,55.00000,35.00000,137
50,0,0.14377,57.00000,36.00000,1476
